site,alexa_rank,daily_pageviews_per_visitor,daily_time_on_site,total_sites_linking_in,bounce_rate,normalized_alexa_rank,normalized_total_sites_linked_in,train_mask,test_mask,unlabel_mask,label,class_factorized
maasbesa.org,0.09241287674919267,0.0,0.0,2.437817373349293e-06,0.0,9.075871232508073e-07,0.13859387311098148,False,False,True,9,9
snookergames.co.uk,0.09241287674919267,0.0,0.0,1.7978903128451035e-05,0.0,9.075871232508073e-07,0.27176609478015074,False,False,True,9,9
mslaurynhill.com,0.5266501444599534,0.014285714285714285,0.0,1.0665451008403157e-05,0.0,8.306018404676265e-08,0.23696239986692766,False,False,True,9,9
mujeresdignasdemencionar.blogspot.com,0.09241287674919267,0.0,0.0,0.0,0.0,9.075871232508073e-07,0.0,False,False,True,9,9
divorce-records.us,0.09241287674919267,0.0,0.0,6.0945434333732325e-06,0.0,9.075871232508073e-07,0.19966425132586837,False,False,True,9,9
slowtowrite.com,0.06141738206626528,0.014285714285714285,0.023481527864746398,1.2189086866746465e-06,0.667,1.4122561577581255e-06,0.09239591540732099,False,False,True,9,9
800citizen.org,0.6229481548456925,0.02857142857142857,0.0,1.0360723836734496e-05,0.0,5.593479184204694e-08,0.23503039315902763,False,False,True,9,9
lenasplugs.com,0.7574599445226463,0.014285714285714285,0.0,2.1330902016806315e-06,0.0,2.959079763216984e-08,0.12969406394838032,False,False,True,9,9
oxfordscholarship.com,0.004533410615219011,0.02142857142857143,0.015497808390732623,0.0005171220103217188,0.754,2.029203965560024e-05,0.4956473019194376,False,False,True,9,9
fuel-efficient-vehicles.org,0.13884706688628917,0.014285714285714285,0.0,4.479489423529326e-05,0.0,5.731604438533707e-07,0.33261015846696457,False,False,True,9,9
pageabode.com,0.278947715699263,0.02857142857142857,0.02770820288040075,9.050396998559251e-05,0.0,2.388783154968563e-07,0.3794847673071235,False,False,True,9,9
caithnesswindfarms.co.uk,0.4422107511030412,0.014285714285714285,0.0,3.3824716055221444e-05,0.0,1.1656647821534888e-07,0.313888136814722,False,False,True,9,9
bigbluebutton.org,0.0010845586060871312,0.056857142857142856,0.05463368816530995,0.0001651621270444146,0.364,8.510824242940382e-05,0.41957673727080685,False,False,True,9,9
livescansacramento.com,0.09241287674919267,0.0,0.0,6.094543433373233e-07,0.0,9.075871232508073e-07,0.046197957703660496,False,False,True,9,9
employmentlawhq.com,0.517102128899088,0.014285714285714285,0.0,3.65672606002394e-06,0.0,8.630020183879965e-08,0.16561794597752494,False,False,True,9,9
proof-proofpositive.blogspot.com,0.2723436076840275,0.02857142857142857,0.0,4.7232711608642554e-05,0.0,2.4691185336688997e-07,0.3361420875214311,False,False,True,9,9
flagsrus.org,0.11019424097162256,0.02857142857142857,0.017376330619912336,1.0360723836734496e-05,0.0,7.46223418607308e-07,0.23503039315902763,False,False,True,9,9
heho.com.tw,0.0014927466908764,0.04714285714285714,0.052442078897933626,2.3768719390155607e-05,0.439,6.1811765092802e-05,0.290372745857492,False,False,True,9,9
airport-jakarta.com,0.32216907655046784,0.02857142857142857,0.04915466499686913,9.14181515005985e-07,0.0,1.9443315580892953e-07,0.07322203057020393,False,False,True,9,9
thewordfm.com,0.09241287674919267,0.0,0.0,1.2798541210083788e-05,0.0,9.075871232508073e-07,0.24911405222224475,False,False,True,9,9
russosbrand.com,0.09241287674919267,0.0,0.0,1.3712722725089773e-05,0.0,9.075871232508073e-07,0.25371239705895526,False,False,True,9,9
kynetic.com,0.10629515297673263,0.014285714285714285,0.019254852849092046,1.3407995553421111e-05,0.7140000000000001,7.769860087837695e-07,0.25221459100383264,False,False,True,9,9
corrections.com,0.005011647730633198,0.04428571428571428,0.0252035065748278,0.00045770021184632977,0.4629999999999999,1.8346886566406677e-05,0.4875117606276895,False,False,True,9,9
penandthepad.com,0.005916555524669087,0.015714285714285715,0.01581089542892924,3.291053454021546e-05,0.889,1.552673129569116e-05,0.3120620071179328,False,False,True,9,9
sooqukaz.com,0.00985279353316221,0.03428571428571428,0.042110206637445205,0.00014322177068427097,0.623,9.286867193783768e-06,0.41007695445323544,False,False,True,9,9
urbanshield.org,0.5133404589893422,0.014285714285714285,0.0,2.8339626965185532e-05,0.0,8.760978074503087e-08,0.3020957821730877,False,False,True,9,9
uscgaux.info,0.03828124075870309,0.21428571428571427,0.11145898559799623,0.00024926682642496524,0.487,2.3216350810427163e-06,0.44700945375027923,False,False,True,9,9
bracketcloud.com,0.14434452959580785,0.02857142857142857,0.024107701941139637,3.291053454021546e-05,0.462,5.478116295533999e-07,0.3120620071179328,False,False,True,9,9
freezoneearth.org,0.42927016303126364,0.04285714285714286,0.0,1.3407995553421111e-05,0.0,1.2286627865500776e-07,0.25221459100383264,False,False,True,9,9
nsspress.com,0.25631337681425137,0.014285714285714285,0.0,1.462690424009576e-05,0.0,2.6813373944797007e-07,0.25801386138484594,False,False,True,9,9
sharefax.org,0.0434955501307089,0.08714285714285713,0.04915466499686913,2.407344656182427e-05,0.061,2.032236128951934e-06,0.2912217963774351,False,False,True,9,9
chelseagroton.com,0.10516226238777368,0.014285714285714285,0.008140262993112084,1.645526727010773e-05,0.75,7.863518500302086e-07,0.26586404941427233,False,False,True,9,9
lawoftheland.wordpress.com,0.09241287674919267,0.0,0.0,1.0970178180071819e-05,0.0,9.075871232508073e-07,0.23883997654772887,False,False,True,9,9
churchangel.com,0.0541787666047623,0.09571428571428571,0.08046336881653099,6.734470493877422e-05,0.457,1.613288837368576e-06,0.3597851930389947,False,False,True,9,9
australiansuper.com,0.0026824712558700717,0.06857142857142856,0.050093926111458985,4.967052898199185e-05,0.214,3.43570872517614e-05,0.3394962324448664,False,False,True,9,9
